Title,Rating,Name,Country,Date,Body
"""More revenue is all we care about!""",1,Harry Last,"

Harry Last (United Kingdom) 7th November 2021",7th November 2021,"Not Verified |  Hey Brains, I have an idea: why don't we charge people £5 to pick up passengers? We'll earn revenue from people who who aren't even travelling! Great idea, but won't that mean more people use the Short Stay car park instead and snarl up the lifts, cause extra queues and create even more chaos at Terminal 5, especially when some of our lifts don't even work? Yes, but who cares about them? More revenue is all we care about!"
"""security staff was rude to me""",5,Jonathan Elizabeth,"

Jonathan Elizabeth (United Kingdom) 9th October 2021",9th October 2021,"Not Verified |  When I got to the airport I had to go to T5 to get my test done, but due to a fight change I had to check in at T3. I had many bags, and one of the attendants was very helpful during the train transfer by getting a trolley for me once I got off the train. The check-in procedure was very quick and smooth. The attendant was extremely helpful and polite, and explained everything thoroughly and made sure I had everything I needed to have for my arrival at my destination. Afterwards I went back to T5 to get a document signed. I had asked about it before and was told it could be signed if I came back after receiving my test result. I was a bit annoyed when I returned and they refused to sign the document. When I was going through security the staff was rude to me. I had started preparing my stuff in the line and was ready to finish unpacking my stuff once I could put my bag down. He kept repeating his instructions and did not give me a chance to finish before he repeated it again. I got very frustrated with him, which resulted in him being extremely patronizing. "
"""Chaos reigns at arrivals""",1,Richard Clarke,"

29 reviews



Richard Clarke (United Kingdom) 28th July 2021",28th July 2021,✅ Trip Verified | Chaos reigns at arrivals & long queues & e gates that don’t work so many passengers including this reviewer was refused after several attempts..what dreadful machines these are...so you had to queue like all the other arriving passengers..it’s dreadful uncoordinated & not enough border force people to man the counters. Air Conditioning is a joke in this hall as every passenger was sweating.....it’s truly dreadful organization with machines that don’t work! Staff here are rude abrupt & really don’t care about the jobs they are employed to do!
"""it is a good airport""",8,Marco Lufez,"

Marco Lufez (United Kingdom) 30th June 2021",30th June 2021,"Not Verified |  When I went to this airport, it was quite busy. I was traveling with my 6 children and my wife, we were going to LA. The staff were super helpful and kind, the shops were okay, some of them were closed. Wifi service was okay, I had to make some phone calls but other than that it is a good airport, recommended."
"""disorganised facility with very poor signage""",1,G Waters,"

G Waters (United Kingdom) 1st March 2021",1st March 2021,"Not Verified |  Where do I start? Having travelled back via GRU and CDG, LHR is a third world experience. I was shocked. Untrained staff who check no paperwork (locator and PCR), disorganised facility with very poor signage, everything seemed to be on a cost basis. Chaos. . Then we come to the long stay carparking. I had to alter the booking 2 times. No problem in extending and paying more money, easy to do online. When it comes to shortening forget it. The system won't allow. I asked for a refund by email, to be given a reply ""claim on your travel insurance"". "
"""no enforcement of any of the covid guidelines set in the UK""",3,T Richards,"

T Richards (United States) 19th February 2021",19th February 2021,"✅ Trip Verified | Even though we are in the middle of a pandemic, I did not see any real changes to when I last visited Heathrow Airport last year in January. There was no enforcement of any of the covid guidelines set in the UK, or when there were some attempts at social distances they made no sense and were extremely redundant. When exiting the plane after waiting for the majority of the passengers to leave, I was approached by a very rude and hostile security guard. As I was travelling alone he made sure to speak with me rather than the family with two children (with no masks) walking behind me. I have taken the covid precautions seriously therefore I was wearing PPE (white disposable overalls, n95 mask, and face shield). The guard, sarcastically mocked if I were travelling to paint and then began berating me about how it is my fault that there is still a pandemic going on. Considering that there are far more people who flaunt their ignorance of the guidelines it is baffling why he was being like this about it whereas the family behind me was let off. Ridiculous. The border control guard, however, was the complete opposite. He asked about my reason of visit which I promptly gave as well as telling him all the precautions I have taken and he was very polite and understanding and let me through with not an ounce of attitude."
"""shocking procedures""",1,Scott Girvan,"

Scott Girvan (United Kingdom) 1st February 2021",1st February 2021,"✅ Trip Verified |  Where do I start? We are in a so called pandemic as the government says. Well what I experienced today I would of never of thought that I could float from terminal 2 arrivals to departure with not one person challenging me to ask why am I here or where am I going? As I was seeing my wife and daughter away to Thailand by government rules I was allowed to do. I proceeded to terminal 5 for my flight back to Aberdeen. Well I was in for more of a shock. Main entrance only had a bit cardboard saying if not a traveller do not proceed anymore than this point, where was security to stop anyone from walking in off the street with any disease with no checks, shocking procedures."
"""so shocked at how backwards Heathrow feels""",3,Alex Reynolds,"

Alex Reynolds (United Kingdom) 29th December 2020",29th December 2020,"Not Verified |  I am so shocked at how backwards Heathrow feels. I fly for work regularly and I'm not very critical. The lack of personal support and consideration for customer experience is pretty shocking. Feels like Brexit is already taking its toll! I will fly through Schiphol, Frankfurt (or anywhere!) from now on. Disappointed and a bit ashamed to be British!"
"""Terrible, disgraceful immigration experience""",1,Bassam El Khouri,"

Bassam El Khouri (Qatar) 17th December 2020",17th December 2020,"Not Verified |  Terrible, disgraceful immigration experience, 200 people cramped in queues with 1 immigration counter open. Then you complain about rising Covid cases, people are catching it at your airport. Shameful especially during this pandemic when people have been away from loved ones. This shows lack of respect and incompetent management leaving 1 immigration officer on her own. Disgraceful."
"""Awful experience today""",3,Daniela Tulea,"

Daniela Tulea (United Kingdom) 16th November 2020",16th November 2020,"Not Verified |  Awful experience today at the security’s before departure. I was asked in a very rude manner to remove my boots and then, with a horrible body language and voice, I was told there were no disposable shoe cover available? I wonder if the authority can’t afford to hire decent, polite staff or if they need to save money from the cleaning company and asking the customers to wipe the floors instead?"
"""it was a very straightforward process""",8,Imtiaz Quwailid,"

10 reviews



Imtiaz Quwailid (United Kingdom) 18th October 2020",18th October 2020,"✅ Trip Verified | First overseas trip of 2020 and surprisingly it was a very straightforward process through Heathrow Terminal 2. We arrived with 3 hours before departure but needn’t have worried. Travelling to Warsaw on LO282, our check in was completed online 24 hrs before. The check in area was quiet and we walked straight up to the kiosk to print our luggage tags. After issuing the tags, the kiosk printed paper boarding passes without any prompt - trying to save paper, we had already got our passes on our mobile phones. Would advise airlines to check if passengers need a paper pass at the kiosk. Once our luggage was tagged, we walked straight over to a drop off desk. In the past, there would be a queue, but given our early arrival at the airport, and the drop in passenger numbers this year, queueing wasn’t required. Tags scanned and luggage on its way, we joined the queue through security. Only two lanes were open, but the staff were extremely quick in moving passengers through. Before we knew it we were airside. From walking into the terminal to getting through security only took 20 mins. Obviously the main difference this year is the number of travellers going through Heathrow (or any airport for that matter). Airside was much quieter than we have seen, and one can only imagine the loss in revenue for the high end shops that cater to the wealthy passengers. We made do with visiting World Duty Free, then WHSmiths (always need some reading material) followed by a pint at the pub on the upper level. Naturally everyone is wearing masks and observing social distancing. My wife was disappointed that the perfume samples were not available - for me this was a major plus as I would usually have to wait ages for her to try different scents before choosing which to buy. Our flight usually departed from a B gate, but given the low number of flights, we were directed to one of the gates at the main lounge. Arriving back to Terminal 2 a week later was a little bit busier than before. To start off with as we deplaned, we had to show our COVID documentation (completed online 2 days before). Several fellow passengers had not done this so had to stand to one side and do it there and then. Our arrival coincided with a couple of long hauls from the Far East so there was a long queue at passport control. This wasn’t helped by only three e-gates being used. Just as I got to the front of the queue, they closed the e-gate! However, a member of staff was very good at getting three lanes down through the 2 remaining e-gates. I wonder how these queues will change once we end the transition period at the end of the year. By the time we got through passport control and walked over to the carousel, the luggage was just being brought out. From exiting the aircraft to leaving the terminal took 50 mins."
"""one of the worlds most awful airports""",1,P Orsman,"

P Orsman (United Kingdom) 5th October 2020",5th October 2020,"Not Verified |  Well I was pleased to see that in 2018 Terminal 2 was awarded ‘Terminal of the Year.’ Because after waiting in a 6 hour immigration line today I was grateful I was not at the worlds worst terminal, because that would have been simply awful. Heathrow must truly be one of the worlds most awful airports."
"""Staff are not friendly""",3,Tia Ebrahim,"

Tia Ebrahim (United Kingdom) 7th September 2020",7th September 2020,"Not Verified |  I generally enjoy the service at Heathrow. However, the customer service at duty free bare minerals is appalling. Staff are not friendly, there is a lack of foundation shade variety and diversity and staff made absolutely no attempt to offer any help or sincere advice. Would not attend again."
"""directions very visible and helpful""",9,E Edwards,"

E Edwards (United Kingdom) 14th June 2020",14th June 2020,"✅ Trip Verified |  Excellent airport to travel from, we organised,  professional well trained and helpful staff, A wide range of duty free shops, Signage and directions very visible and helpful, seating area is great, Business lounge is fantastic, even though at times there are long queues due to the efficiency and intuition of the dedicated staff these queues move quite quickly. I have always travelled through this airport despite living over three hours away, the standards at this airport improves each time I have travelled through it inevitably adding a positive experience to my travels In all honesty I cannot pick a single fault or negative experience that I have been through at this airport."
"""I was expecting more choice of food""",6,B Davies,"

B Davies (United Kingdom) 22nd April 2020",22nd April 2020,"✅ Trip Verified | The airport is spacious, looks pretty, however for this kind of airport I was expecting more choice of food in terminal 2. Compared with Gatwick, Gatwick is much better. Staff should have better training at check in area. Not family friendly. Its good if you travel alone outside Europe."
"""will avoid as much as possible""",1,Ovidiu Ionut,"

Ovidiu Ionut (Romania) 18th March 2020",18th March 2020,"✅ Trip Verified | Poor airport and security measures. Was in transit coming from New York going to Bucharest. Of course we had to pass security again, even though it was transit and the same terminal. So anything you might have bought back in New York was good to throw out. Luckily for us it was just some bottles of water. But at security, I had a can of Powder spray for the shoes/feet. The can was clearly Powder, measured in grams and was on an outside net pocket of my backpack. The security staff, instead of just taking care of the can, they got everything out of my backpack, every single individual thing, including cosmetics that were actually in the bag on the tray, and put them directly on the incredibly filthy tray (exactly what I tried to avoid touching with my stuff). This was done at a very slow pace. Also my dad had issues with all his bags, instead of going directly to the problem, the staff touched and got everything out of the bag. Hopefully I never have to use this airport ever again, will avoid as much as possible."
"""received nothing but helpful and cheerful service""",10,R&M Henricksen,"

R&M Henricksen (Canada) 18th March 2020",18th March 2020,Not Verified |  Had to return home early due to Coronavirus. The airport was extremely busy. We received nothing but helpful and cheerful service from all staff. Thank you guys for a job more than well done.
"""idiotic systems and procedures""",2,I Mack,"

I Mack (United Kingdom) 9th March 2020",9th March 2020,"Not Verified |  Someone needs to explain to me why I go through security at Edinburgh and then have to go through it again when arriving in London when all I have done is go on a plane in the UK and got off a plane in the UK? I’m in Transit you morons - I have not left the Airport / I am arriving at the same Terminal that I am leaving from to go on my International Flight (Terminal 5) but I have already done Security at Edinburgh! Different story if I have left the Airport, spent a few hours in London and then returned - that I get! Sounds too much like common sense to Heathrow? - they deal with idiotic systems and procedures that bear no resemblance to reality / order. This nonsense is compounded by moronic staff who get their kicks out of being exceptionally stupid / rude and arrogant."
"""VAT refund was horrible""",2,Y Chan,"

1 reviews



Y Chan (Hong Kong) 5th March 2020",5th March 2020,"✅ Trip Verified |  The check in has to be done by machines which for me kept failing and ended up needing staff to help us. Also, the VAT refund was horrible. Only 2 staffs were there and although many people were waiting, the staffs were slow. There were about 20 people in front of us when we first arrived at the queue, and after 1 and a half hour, only 10 has been processed! "
"""my experience was always positive""",10,D Egginton,"

D Egginton (Indonesia) 28th January 2020",28th January 2020,"✅ Trip Verified | Over the last 5 months I have visited Terminals 2, 4 and 5. Credit where it is due, whether it was departing or arriving my experience was always positive."
"""Well done Terminal 3!""",10,Gavin Livingstone,"

Gavin Livingstone (United Kingdom) 25th January 2020",25th January 2020,"✅ Trip Verified |  Well done Terminal 3! Departed from there yesterday on AA flight to Miami with my wife. Unfortunately she had just twisted her knee and was struggling to walk far, but all the staff were very polite and helpful. Security was polite and professional, then a member of staff offered to get my wife a wheelchair (without prompting), which she declined as she thought she could manage. But the gate was a long way, and she wasn’t managing very well, then one of the electric buggy drivers saw us and stopped, turned round and took us to our gate. Again at the gate all staff were polite and helpful. Just to let everyone there know that we appreciated your great attitude!"
"""I got randomly selected""",2,Jam Muri,"

Jam Muri (United Kingdom) 24th January 2020",24th January 2020,"Not Verified |  I got randomly selected by a staff prior to entering ""nothing to declare"" gate. Immediately asked if are you from Dubai instead of checking my boarding pass/ticket. Then asked if I had any tobacco, I said no, I wouldn't buy those because I have asthma, to which he chuckled and said ""I didn't ask if you have asthma, I asked if you have tobacco"". I firmly said no."
"""Hugely impressed by Heathrow T3""",9,P Roberts,"

P Roberts (United Kingdom) 15th January 2020",15th January 2020,"✅ Trip Verified | Hugely impressed by Heathrow T3. Having said that, my local airport is MAN which is like a 3rd world, despot run nightmare. Flew with AA. Boarding a full flight was calm quick and orderly. Prior to that, security was a breeze, with polite, non-shouty staff (MAN take note). A very nice breakfast followed and it made a great start to a weekend away. On return, immigration was quick and I was in the carpark bus within minutes."
"""no smoking areas here""",3,D Rijkers,"

D Rijkers (Netherlands) 15th January 2020",15th January 2020,Not Verified | I never came on an airport where it not possible to smoke. Why are there no smoking areas here?
"""go out of their way to make life difficult""",3,Robert Davis,"

Robert Davis (United Kingdom) 6th December 2019",6th December 2019,Not Verified |  The south security gate was closed and all passengers were directed to the north portion and the queues were simply horrendous. Heathrow security thrives on beings rude and unpleasant and go out of their way to make life difficult. The amenities in the airport are geared up for millionaires and full of designers outlets unfortunately not much fun for the normal people. Flights are never on time so don’t expect a happy visit. I avoid this airport whenever possible.
"""experience absolutely awful""",2,Harriet Mak,"

Harriet Mak (United Kingdom) 3rd December 2019",3rd December 2019,"Not Verified | Had just come off a 12-hour flight from Hong Kong and had to connect to get a domestic flight. We arrived at Terminal 5 but we were at the C Gates, so we were required to travel to the main terminal by train. It was around 5 in the morning and at least 2 flights had landed with a large number of passengers. There was only one train available that needed to take people back to the main terminals before returning to the C Gates and back and forth, so this took longer than expected. We were then required to go through security again however there were no signs or guides advising that we needed to do this. In some other international airports that we have connected, there is no need to go through security checks again. Because we only had 2 hours to connect, we decided we would try and head straight over to our gate before going to the toilets etc., but we encountered security instead. The queues were all over the place and you could see everyone was a bit fed up at this point. I had just come off the plane with at least 500ml of water left as well and instead of being helpful, I was shouted at for having a large bottle of water and was told to empty it on the spot by drinking it all (seriously?) or the security guard would bin my water bottle (was desperate for the toilet as well at this point). When we told her that nobody informed us that there would be security checks again, she shrugged and told us we should've emptied it in the toilets - obviously, I would've done that if I knew we had to go through this again! Overall she was incredibly rude, treated us as if we were stupid, put the blame on us and made our experience absolutely awful. If I had gotten her name I would've made a formal complaint. Honestly the worst airport I have ever experienced and would avoid in the future if possible."
"""should do smoking areas""",2,Daniel Borges,"

Daniel Borges (United Kingdom) 27th November 2019",27th November 2019,"Not Verified | It is ridiculous, I understand that is the law not to smoke inside the airport but they should do smoking areas for the people who are travelling more them 12h in the row (I just arrived from a connection flight)."
"""Horrible customer service""",3,Anna Hrafska,"

Anna Hrafska (United Kingdom) 17th November 2019",17th November 2019,✅ Trip Verified | 5 Check in machines I tried were out of service. Horrible customer service! Staff member at the check in desk was rude and ignorant. She asked me whether my final city destination was Turkey and then had a go at me for not knowing the airport code. Very very bad!
"""Very kind security control service""",8,B Nowak ,"

3 reviews



B Nowak  (Poland) 13th November 2019",13th November 2019,✅ Trip Verified | Arrival to Terminal 2. Departure from Terminal 4. Both Terminals are very ok. No big queues to security control. All information presented loud and clear. Very kind security control service.
"""airport is totally incompetent""",3,Tugce Mutluer,"

Tugce Mutluer (Germany) 11th November 2019",11th November 2019,"✅ Trip Verified | This airport is totally incompetent. They took my jam off me but they left my razor in my carry on. Very poor, I don’t feel safe here and there is no security check that I can rely on."
"""Security staff hate their job""",1,G Ralph,"

G Ralph (Finland) 8th November 2019",8th November 2019,"Not Verified | Security staff hate their job. We're a family of 4 with 2 small kids and connecting to Miami at Heathrow terminal 3. First we have to go through the security check in Helsinki and get rid of all our drinks, buy water, drinks and even a bottle of liquor at Helsinki. Arriving after a 2.5hr flight at Heathrow, with 90 minutes to change flights. First you need to go through exact the same security check as in Helsinki. Security staff yelling and threatening people to listen to them or else they will be delayed. Here you are as a parent trying to get your family to another plane for a nice and stress free vacation. Unfortunately I forgot to take 2 iPads out of my bag. A simple mistake. The security staff took my bag (and several other bags of “criminals”, including an old English lady who clearly had difficulties understanding the instructions) to put it aside for at least 15 minutes before eving looking at it. The bag and iPads now needed some special investigation and it took another 15 minutes before I had my bag back. While I was waiting I could see several other people in the same situation, staff not trying at all to help the travelers, staff yelling and cursing at people for not putting the trays at the correct place. We had to run from the security check to the gate, me carrying a crying 3 year old, and a 7 year old trying to keep up. What a relief to make it to the gate and meet the incredible nice and friendly staff of British Airways. I feel bad for them, but I will never fly again via Heathrow. We had plenty of alternatives to fly to Miami, but thought Heathrow was a world class airport. Oh and the glass bottle of liquor I bought at Helsinki airport tax free and had with me in the flight to Miami. Not a single word to get that through security."
"""terminal was clean and airy""",8,J Tung,"

17 reviews



J Tung (United Kingdom) 23rd October 2019",23rd October 2019,Not Verified |  Departed from LHR T2 to Bangkok in October (evening). The check in for premium passengers was hassle free and security check was super efficient. In fact I've never encountered long security checks in any of the Heathrow terminals. It's one of the most efficient security I've been through. Once passed security there were plenty of shops or sitting areas with charging facilities. The terminal was clean and airy. On arrival we were connected to jet bridge in no time and was out of the plane very quick. Early evening on a Sunday with multiple wide bodied planes landing resulted in longer immigration queue. However the queue kept moving fast and most of the e gates were in operation. From landing to clearing immigration it took me less than 25 minutes despite the busy landing time. The only disadvantage or slightly negative experience on T2 is the long walk between the main building A and the satellite gates B (where most long haul flights depart/arrive). You have to go down and up on long escalators.
"""rudeness of security staff""",3,S Poon,"

S Poon (United Kingdom) 20th October 2019",20th October 2019,"Not Verified |  The rudeness of security staff is unbelievable. One tells you to load your contents one way, others want them laid out differently. You can hear one of them complaining the passengers were not listening to his instructions. Do they realise we are their customers? Without us, they won't have a job. "
"""security queues are quick and painless""",8,H Simpson,"

H Simpson (United Kingdom) 18th October 2019",18th October 2019,✅ Trip Verified | Traveled in and out of Heathrow four times this year. Most recently on Terminal 5. It's a good airport. I don't understand the complaints about this. The security queues are quick and painless and the self service bio metric check on arrival with the machines work well and I'm out of the terminal into the underground within 10 minutes of landing. The toilets are well maintained and the prices of food and drinks with the variety means there is choice for all price points. The negative is lack of seating throughout the terminal as nearly all the space is taken up by retail shops.
"""immigration queues extremely long""",1,W Lee,"

W Lee (United Kingdom) 17th October 2019",17th October 2019,"✅ Trip Verified | Worst airport for two reasons. Firstly, the security staff I encountered are very rude and unhelpful. When they try to check your bags, they do it at an incredibly slow pace that's literately maddening for anyone trying to catch a flight. Secondly the immigration queues are extremely long and counters are poorly staffed, normally people have to wait for an hour or so to go through immigration which is unbelievable. One time for a complete 15 minutes interval there was not a single staff member serving at the counters, not a single one! "
"""despise this airport""",1,John Delatore,"

John Delatore (United States) 10th October 2019",10th October 2019,"Not Verified | I absolutely despise this airport, not because of their layout, though it's rather complicated and time-consuming to get around, but because of the staff running the security. For the second time now, the last time was about 5 years ago and I swore that would be the last time I went through Heathrow, but security seemed to find yet again a way to cause me to be within minutes of missing my next flight. Both times my items breezed through the scanner, but ""I"", who had no metal objects on or in me, had to be scanned twice, and held to a very aggressive body pat-down. They even used two hand held metal scanners to search me and couldn't find a thing. I'm wearing a cotton shit, jeans and socks, no shoes. It took them well over 15 minutes to perform this abuse of power, and for a reason, I have no idea of. These people are truly messed up, I despise them and hope never again to have to go to that horrible airport again."
"""have new found admiration for Heathrow""",9,P James,"

P James (United Kingdom) 9th October 2019",9th October 2019,"✅ Trip Verified | I have been on a series of wide ranging business trips and now have new found admiration for Heathrow having used it at least 20 times in the last 4 months. The main thing is it realises it is an airport with shopping not the other way round. Inbound the connections from Domestic to an International can be made in 20 minutes - I have to do it at least twice on Sunday evenings as my flight has been delayed. The signs are clear, the 5A to 5B or 5C shuttle is effcient and never seems crowded. I have access to BA First class or Concorde lounges but have tried other lounges and bars and they all seem good (one in T5 beside the domestic gate lounge is very good at serving rapidly). There are loads of snack type outlets but it doesn't stink of food everywhere. On arrival the e-passport gates and security works very efficiently and I am not sure fast track actually delivers very much. Shopping is very good and I can't fault the terminal cleanliness. Two issues stop it getting a 10/10 - firstly if you are on a remote stand it is a very long bus ride and the buses are not very good, and secondly the have too many slots so if you are on alate out say 21.00-13.00 then you are going to spend a lot of time at the gate or in a queue."
"""Totally unacceptable""",1,Donald Maclean,"

Donald Maclean (United Kingdom) 2nd October 2019",2nd October 2019,Not Verified |  From landing to exiting the airport took 3 hours! This is meant to be a world class airport and this took almost as long as the flight itself. Totally unacceptable.
"""horrendous experience with the tax refund office""",1,Serena Yee,"

Serena Yee (Malaysia) 1st October 2019",1st October 2019,"Not Verified |  I’m compelled to write this review after a horrendous experience with the tax refund office at T4. British wit and world famous repute for good education and common sense is no where evident as we queue in dingy surroundings, eye sight gradually deteriorating due to faulty blinking fluorescent lighting, somehow no money forthcoming from the coffers of the wealthy British Empire for a replacement tube. Rows and rows of happy holiday makers after enjoying gentle British hospitality, cursing the somewhat hostile system of tax refund, obviously aimed at discouraging visitors from claiming what is rightfully theirs, in a cunning, sneaky, unfriendly, money-faced manner. Having travelled extensively, contributing to the healthy economies of a large number of countries, I can safely say this tax refund system and premise to be the absolute worst, even surpassing Paris’s CDG many times over. Common sense dictates more counters required for expeditious service, better ventilation (!) in a bigger area, toilet facilities, seating areas for the elderly and those with children and properly functioning lights (basic requirement!). This system of screwing visitors is keeping the economy afloat in a most underhanded manner. How disappointing that we leave Bonny ol England with this impression and what a put-off!"
"""plenty of signage and helpers""",10,C Lewis,"

C Lewis (United Kingdom) 1st October 2019",1st October 2019,"✅ Trip Verified | Still the best airport I’ve been to, it’s quick and easy to get through check-in and security. Duty free is good, and a fast transfer is made easy by plenty of signage and helpers."
"""Very confusing and complicated""",2,Brian Oswald ,"

Brian Oswald  (United Kingdom) 1st October 2019",1st October 2019,"Not Verified |  Baggage drop off for my mum, traveling to Singapore. Very confusing and complicated. We had already done online check-in the night before and still had to wait 25 minutes for baggage drop. Also very difficult to find the right queue."
"""impressive for a harshly criticized airport""",8,Daniel Baiks,"

Daniel Baiks (United Kingdom) 29th September 2019",29th September 2019,"Not Verified |  This was the very first time in Heathrow, really impressive for a harshly criticized airport. First of all, very clean airport. Terminal 2 is always spick and span and presentable. Signs are very helpful, want to go to the tube? Arrivals, then underground. Don't know the terminal you're going to? Check their website and find your airline's terminal. Queuing times are efficient as they take into account the intense amount of passengers that go through the airport, just not the planes, you'll be waiting 10, maybe 20 minutes waiting to take off, possibly missing a connecting flight. Seating wise, the seats are quite good to rest on for a person who lives quite far from airports. The food is fatty but really tasty. I expected so much less from an airport like this. The staff are genuinely lovely. Especially some of the staff at the UK border that are pleasant to speak to. Overall, a very good airport to fly in if you're not on a time crunch."
