Title,Rating,Name,Country,Date,Verification,Body
directions very visible and helpful,9,E Edwards,United Kingdom,14th June 2020,✅ Trip Verified ,"  Excellent airport to travel from, we organised,  professional well trained and helpful staff, A wide range of duty free shops, Signage and directions very visible and helpful, seating area is great, Business lounge is fantastic, even though at times there are long queues due to the efficiency and intuition of the dedicated staff these queues move quite quickly. I have always travelled through this airport despite living over three hours away, the standards at this airport improves each time I have travelled through it inevitably adding a positive experience to my travels In all honesty I cannot pick a single fault or negative experience that I have been through at this airport."
I was expecting more choice of food,6,B Davies,United Kingdom,22nd April 2020,✅ Trip Verified ," The airport is spacious, looks pretty, however for this kind of airport I was expecting more choice of food in terminal 2. Compared with Gatwick, Gatwick is much better. Staff should have better training at check in area. Not family friendly. Its good if you travel alone outside Europe."
will avoid as much as possible,1,Ovidiu Ionut,Romania,18th March 2020,✅ Trip Verified ," Poor airport and security measures. Was in transit coming from New York going to Bucharest. Of course we had to pass security again, even though it was transit and the same terminal. So anything you might have bought back in New York was good to throw out. Luckily for us it was just some bottles of water. But at security, I had a can of Powder spray for the shoes/feet. The can was clearly Powder, measured in grams and was on an outside net pocket of my backpack. The security staff, instead of just taking care of the can, they got everything out of my backpack, every single individual thing, including cosmetics that were actually in the bag on the tray, and put them directly on the incredibly filthy tray (exactly what I tried to avoid touching with my stuff). This was done at a very slow pace. Also my dad had issues with all his bags, instead of going directly to the problem, the staff touched and got everything out of the bag. Hopefully I never have to use this airport ever again, will avoid as much as possible."
received nothing but helpful and cheerful service,10,R&M Henricksen,Canada,18th March 2020,Not Verified ,  Had to return home early due to Coronavirus. The airport was extremely busy. We received nothing but helpful and cheerful service from all staff. Thank you guys for a job more than well done.
idiotic systems and procedures,2,I Mack,United Kingdom,9th March 2020,Not Verified ,"  Someone needs to explain to me why I go through security at Edinburgh and then have to go through it again when arriving in London when all I have done is go on a plane in the UK and got off a plane in the UK? I’m in Transit you morons - I have not left the Airport / I am arriving at the same Terminal that I am leaving from to go on my International Flight (Terminal 5) but I have already done Security at Edinburgh! Different story if I have left the Airport, spent a few hours in London and then returned - that I get! Sounds too much like common sense to Heathrow? - they deal with idiotic systems and procedures that bear no resemblance to reality / order. This nonsense is compounded by moronic staff who get their kicks out of being exceptionally stupid / rude and arrogant."
VAT refund was horrible,2,Y Chan,Hong Kong,5th March 2020,✅ Trip Verified ,"  The check in has to be done by machines which for me kept failing and ended up needing staff to help us. Also, the VAT refund was horrible. Only 2 staffs were there and although many people were waiting, the staffs were slow. There were about 20 people in front of us when we first arrived at the queue, and after 1 and a half hour, only 10 has been processed! "
my experience was always positive,10,D Egginton,Indonesia,28th January 2020,✅ Trip Verified ," Over the last 5 months I have visited Terminals 2, 4 and 5. Credit where it is due, whether it was departing or arriving my experience was always positive."
Well done Terminal 3!,10,Gavin Livingstone,United Kingdom,25th January 2020,✅ Trip Verified ,"  Well done Terminal 3! Departed from there yesterday on AA flight to Miami with my wife. Unfortunately she had just twisted her knee and was struggling to walk far, but all the staff were very polite and helpful. Security was polite and professional, then a member of staff offered to get my wife a wheelchair (without prompting), which she declined as she thought she could manage. But the gate was a long way, and she wasn’t managing very well, then one of the electric buggy drivers saw us and stopped, turned round and took us to our gate. Again at the gate all staff were polite and helpful. Just to let everyone there know that we appreciated your great attitude!"
I got randomly selected,2,Jam Muri,United Kingdom,24th January 2020,Not Verified ,"  I got randomly selected by a staff prior to entering ""nothing to declare"" gate. Immediately asked if are you from Dubai instead of checking my boarding pass/ticket. Then asked if I had any tobacco, I said no, I wouldn't buy those because I have asthma, to which he chuckled and said ""I didn't ask if you have asthma, I asked if you have tobacco"". I firmly said no."
Hugely impressed by Heathrow T3,9,P Roberts,United Kingdom,15th January 2020,✅ Trip Verified ," Hugely impressed by Heathrow T3. Having said that, my local airport is MAN which is like a 3rd world, despot run nightmare. Flew with AA. Boarding a full flight was calm quick and orderly. Prior to that, security was a breeze, with polite, non-shouty staff (MAN take note). A very nice breakfast followed and it made a great start to a weekend away. On return, immigration was quick and I was in the carpark bus within minutes."
no smoking areas here,3,D Rijkers,Netherlands,15th January 2020,Not Verified , I never came on an airport where it not possible to smoke. Why are there no smoking areas here?
go out of their way to make life difficult,3,Robert Davis,United Kingdom,6th December 2019,Not Verified ,  The south security gate was closed and all passengers were directed to the north portion and the queues were simply horrendous. Heathrow security thrives on beings rude and unpleasant and go out of their way to make life difficult. The amenities in the airport are geared up for millionaires and full of designers outlets unfortunately not much fun for the normal people. Flights are never on time so don’t expect a happy visit. I avoid this airport whenever possible.
experience absolutely awful,2,Harriet Mak,United Kingdom,3rd December 2019,Not Verified ," Had just come off a 12-hour flight from Hong Kong and had to connect to get a domestic flight. We arrived at Terminal 5 but we were at the C Gates, so we were required to travel to the main terminal by train. It was around 5 in the morning and at least 2 flights had landed with a large number of passengers. There was only one train available that needed to take people back to the main terminals before returning to the C Gates and back and forth, so this took longer than expected. We were then required to go through security again however there were no signs or guides advising that we needed to do this. In some other international airports that we have connected, there is no need to go through security checks again. Because we only had 2 hours to connect, we decided we would try and head straight over to our gate before going to the toilets etc., but we encountered security instead. The queues were all over the place and you could see everyone was a bit fed up at this point. I had just come off the plane with at least 500ml of water left as well and instead of being helpful, I was shouted at for having a large bottle of water and was told to empty it on the spot by drinking it all (seriously?) or the security guard would bin my water bottle (was desperate for the toilet as well at this point). When we told her that nobody informed us that there would be security checks again, she shrugged and told us we should've emptied it in the toilets - obviously, I would've done that if I knew we had to go through this again! Overall she was incredibly rude, treated us as if we were stupid, put the blame on us and made our experience absolutely awful. If I had gotten her name I would've made a formal complaint. Honestly the worst airport I have ever experienced and would avoid in the future if possible."
should do smoking areas,2,Daniel Borges,United Kingdom,27th November 2019,Not Verified ," It is ridiculous, I understand that is the law not to smoke inside the airport but they should do smoking areas for the people who are travelling more them 12h in the row (I just arrived from a connection flight)."
Horrible customer service,3,Anna Hrafska,United Kingdom,17th November 2019,✅ Trip Verified , 5 Check in machines I tried were out of service. Horrible customer service! Staff member at the check in desk was rude and ignorant. She asked me whether my final city destination was Turkey and then had a go at me for not knowing the airport code. Very very bad!
Very kind security control service,8,B Nowak ,Poland,13th November 2019,✅ Trip Verified , Arrival to Terminal 2. Departure from Terminal 4. Both Terminals are very ok. No big queues to security control. All information presented loud and clear. Very kind security control service.
airport is totally incompetent,3,Tugce Mutluer,Germany,11th November 2019,✅ Trip Verified ," This airport is totally incompetent. They took my jam off me but they left my razor in my carry on. Very poor, I don’t feel safe here and there is no security check that I can rely on."
Security staff hate their job,1,G Ralph,Finland,8th November 2019,Not Verified ," Security staff hate their job. We're a family of 4 with 2 small kids and connecting to Miami at Heathrow terminal 3. First we have to go through the security check in Helsinki and get rid of all our drinks, buy water, drinks and even a bottle of liquor at Helsinki. Arriving after a 2.5hr flight at Heathrow, with 90 minutes to change flights. First you need to go through exact the same security check as in Helsinki. Security staff yelling and threatening people to listen to them or else they will be delayed. Here you are as a parent trying to get your family to another plane for a nice and stress free vacation. Unfortunately I forgot to take 2 iPads out of my bag. A simple mistake. The security staff took my bag (and several other bags of “criminals”, including an old English lady who clearly had difficulties understanding the instructions) to put it aside for at least 15 minutes before eving looking at it. The bag and iPads now needed some special investigation and it took another 15 minutes before I had my bag back. While I was waiting I could see several other people in the same situation, staff not trying at all to help the travelers, staff yelling and cursing at people for not putting the trays at the correct place. We had to run from the security check to the gate, me carrying a crying 3 year old, and a 7 year old trying to keep up. What a relief to make it to the gate and meet the incredible nice and friendly staff of British Airways. I feel bad for them, but I will never fly again via Heathrow. We had plenty of alternatives to fly to Miami, but thought Heathrow was a world class airport. Oh and the glass bottle of liquor I bought at Helsinki airport tax free and had with me in the flight to Miami. Not a single word to get that through security."
terminal was clean and airy,8,J Tung,United Kingdom,23rd October 2019,Not Verified ,  Departed from LHR T2 to Bangkok in October (evening). The check in for premium passengers was hassle free and security check was super efficient. In fact I've never encountered long security checks in any of the Heathrow terminals. It's one of the most efficient security I've been through. Once passed security there were plenty of shops or sitting areas with charging facilities. The terminal was clean and airy. On arrival we were connected to jet bridge in no time and was out of the plane very quick. Early evening on a Sunday with multiple wide bodied planes landing resulted in longer immigration queue. However the queue kept moving fast and most of the e gates were in operation. From landing to clearing immigration it took me less than 25 minutes despite the busy landing time. The only disadvantage or slightly negative experience on T2 is the long walk between the main building A and the satellite gates B (where most long haul flights depart/arrive). You have to go down and up on long escalators.
rudeness of security staff,3,S Poon,United Kingdom,20th October 2019,Not Verified ,"  The rudeness of security staff is unbelievable. One tells you to load your contents one way, others want them laid out differently. You can hear one of them complaining the passengers were not listening to his instructions. Do they realise we are their customers? Without us, they won't have a job. "
security queues are quick and painless,8,H Simpson,United Kingdom,18th October 2019,✅ Trip Verified , Traveled in and out of Heathrow four times this year. Most recently on Terminal 5. It's a good airport. I don't understand the complaints about this. The security queues are quick and painless and the self service bio metric check on arrival with the machines work well and I'm out of the terminal into the underground within 10 minutes of landing. The toilets are well maintained and the prices of food and drinks with the variety means there is choice for all price points. The negative is lack of seating throughout the terminal as nearly all the space is taken up by retail shops.
immigration queues extremely long,1,W Lee,United Kingdom,17th October 2019,✅ Trip Verified ," Worst airport for two reasons. Firstly, the security staff I encountered are very rude and unhelpful. When they try to check your bags, they do it at an incredibly slow pace that's literately maddening for anyone trying to catch a flight. Secondly the immigration queues are extremely long and counters are poorly staffed, normally people have to wait for an hour or so to go through immigration which is unbelievable. One time for a complete 15 minutes interval there was not a single staff member serving at the counters, not a single one! "
despise this airport,1,John Delatore,United States,10th October 2019,Not Verified ," I absolutely despise this airport, not because of their layout, though it's rather complicated and time-consuming to get around, but because of the staff running the security. For the second time now, the last time was about 5 years ago and I swore that would be the last time I went through Heathrow, but security seemed to find yet again a way to cause me to be within minutes of missing my next flight. Both times my items breezed through the scanner, but ""I"", who had no metal objects on or in me, had to be scanned twice, and held to a very aggressive body pat-down. They even used two hand held metal scanners to search me and couldn't find a thing. I'm wearing a cotton shit, jeans and socks, no shoes. It took them well over 15 minutes to perform this abuse of power, and for a reason, I have no idea of. These people are truly messed up, I despise them and hope never again to have to go to that horrible airport again."
have new found admiration for Heathrow,9,P James,United Kingdom,9th October 2019,✅ Trip Verified ," I have been on a series of wide ranging business trips and now have new found admiration for Heathrow having used it at least 20 times in the last 4 months. The main thing is it realises it is an airport with shopping not the other way round. Inbound the connections from Domestic to an International can be made in 20 minutes - I have to do it at least twice on Sunday evenings as my flight has been delayed. The signs are clear, the 5A to 5B or 5C shuttle is effcient and never seems crowded. I have access to BA First class or Concorde lounges but have tried other lounges and bars and they all seem good (one in T5 beside the domestic gate lounge is very good at serving rapidly). There are loads of snack type outlets but it doesn't stink of food everywhere. On arrival the e-passport gates and security works very efficiently and I am not sure fast track actually delivers very much. Shopping is very good and I can't fault the terminal cleanliness. Two issues stop it getting a 10/10 - firstly if you are on a remote stand it is a very long bus ride and the buses are not very good, and secondly the have too many slots so if you are on alate out say 21.00-13.00 then you are going to spend a lot of time at the gate or in a queue."
Totally unacceptable,1,Donald Maclean,United Kingdom,2nd October 2019,Not Verified ,  From landing to exiting the airport took 3 hours! This is meant to be a world class airport and this took almost as long as the flight itself. Totally unacceptable.
horrendous experience with the tax refund office,1,Serena Yee,Malaysia,1st October 2019,Not Verified ,"  I’m compelled to write this review after a horrendous experience with the tax refund office at T4. British wit and world famous repute for good education and common sense is no where evident as we queue in dingy surroundings, eye sight gradually deteriorating due to faulty blinking fluorescent lighting, somehow no money forthcoming from the coffers of the wealthy British Empire for a replacement tube. Rows and rows of happy holiday makers after enjoying gentle British hospitality, cursing the somewhat hostile system of tax refund, obviously aimed at discouraging visitors from claiming what is rightfully theirs, in a cunning, sneaky, unfriendly, money-faced manner. Having travelled extensively, contributing to the healthy economies of a large number of countries, I can safely say this tax refund system and premise to be the absolute worst, even surpassing Paris’s CDG many times over. Common sense dictates more counters required for expeditious service, better ventilation (!) in a bigger area, toilet facilities, seating areas for the elderly and those with children and properly functioning lights (basic requirement!). This system of screwing visitors is keeping the economy afloat in a most underhanded manner. How disappointing that we leave Bonny ol England with this impression and what a put-off!"
plenty of signage and helpers,10,C Lewis,United Kingdom,1st October 2019,✅ Trip Verified ," Still the best airport I’ve been to, it’s quick and easy to get through check-in and security. Duty free is good, and a fast transfer is made easy by plenty of signage and helpers."
Very confusing and complicated,2,Brian Oswald ,United Kingdom,1st October 2019,Not Verified ,"  Baggage drop off for my mum, traveling to Singapore. Very confusing and complicated. We had already done online check-in the night before and still had to wait 25 minutes for baggage drop. Also very difficult to find the right queue."
impressive for a harshly criticized airport,8,Daniel Baiks,United Kingdom,29th September 2019,Not Verified ,"  This was the very first time in Heathrow, really impressive for a harshly criticized airport. First of all, very clean airport. Terminal 2 is always spick and span and presentable. Signs are very helpful, want to go to the tube? Arrivals, then underground. Don't know the terminal you're going to? Check their website and find your airline's terminal. Queuing times are efficient as they take into account the intense amount of passengers that go through the airport, just not the planes, you'll be waiting 10, maybe 20 minutes waiting to take off, possibly missing a connecting flight. Seating wise, the seats are quite good to rest on for a person who lives quite far from airports. The food is fatty but really tasty. I expected so much less from an airport like this. The staff are genuinely lovely. Especially some of the staff at the UK border that are pleasant to speak to. Overall, a very good airport to fly in if you're not on a time crunch."
there is no excuse for their hostility,1,Elizabeth Meuser,United States,19th September 2019,Not Verified ,"  
The screeners were vicious morons. If a sensor lights up, that means certain areas are to be inspected. Fine. But a lit sensor did not mean that I was guilty of something. The screener pummeled me and kept saying, ""Ma'am"" in an officious tone. I am a little-ish old lady with blue eyes and light brown hair, an American of Germanic descent. I have not been out of the United States since 2008, on a cruise in the Caribbean. I would be stunned if anyone could find a terrorist of my description but the screener acted as if I were carrying a grenade. I realize that your screeners may not be the brightest of people but there is no excuse for their hostility and complete lack of common sense. There is no other word than, ""Bully."" If the screeners keep up at this, someone is going to sue them for battery. We have relief in common. I would rather be buried alive than travel to England again and the screeners will never see me again. The trip was supposed to be a birthday celebration for me. Not much of a celebration."
plenty of helpful staff,10,John Davies,United Kingdom,8th September 2019,Not Verified ,"  Quick efficient passage, through Terminal 2, plenty of helpful staff available to assist, check in and Security queues were minimal. Security staff efficient and quite pleasant, terminal was fairly busy but clean and tidy and easy to navigate from entrance to departure gate."
a very good to excellent terminal,9,Tony McLaughlin,United Kingdom,6th September 2019,✅ Trip Verified ," Leaving - T5 is still one of my favourite terminals. there have been some changes since my last visit in 2017. Self Check in is now the norm. At 05.30 on a Friday morning, it wasn't that busy. Terminal signage indicated that South was less busy than North for getting through security, and indeed it was and it delivers you right outside the Gordon Ramsay restaurant, which is excellent! Flight left from C57, which must be one of the furthest gates from the main terminal. It is also a long walk to the plane from there. Arriving - E-Gates are now the norm for immigration. It was quite busy, and I fear that if there is a Hard Brexit, it will be very chaotic at the UK Border. Bags from my flight started to arrive on the belt as I arrived in the Baggage Hall. Overall still a very good to excellent terminal."
there was no trolley,1,Divya Patel,United Kingdom,30th August 2019,Not Verified ,  I traveled with my family from terminal 2 to USA. Came back on terminal 2. The biggest issue was claiming baggage there was no trolley at all to keep your bags.?when I asked them they said they run out of trolley. After an hour of claiming our bags I found 1 trolley and some how managed to came out. When we came out I can’t believe it but there was so many trolley outside - airport staff was just going around but not bother to bring the trolley inside the airport. Very disappointed. I think they not bother about service.
No hassle at all,9,T Jackson,United Kingdom,21st August 2019,✅ Trip Verified ," Terminal 5 is a very good terminal. There is lots of space and the queue times are not very long. Security would be my only issue, as a lady was very unpleasant to passengers queuing up for security. Through security, there are a good range of shops and food options at a reasonable price (for an airport). There were plenty of departure screens and signage was good. No hassle at all when travelling through Heathrow Terminal 5."
